"price_category","avg_percent_return"
"$1 or less",212.3
"$1.99",190.4
"$2.99",167.3
"$3.99",147.0
"$4.99",142.1
"$5.99",125.1
"$6.99",118.4
"$7.99",107.2
"$14.99",85.8
"$9.99",85.7
