"price_category","avg_percent_return"
"$1.20 ",225.0
"$1.29 ",223.3
"$1.59 ",220.8
"$1.75 ",220.7
"$1.50 ",219.5
"$1.76 ",218.0
"$1.61 ",217.6
"$1.70 ",217.5
"$1 or less",216.9
"$1.97 ",214.8
