"name","price","review_count","rating","est_income","est_total_cost","expected_profit"
"Gods of Olympus","0.00","21414","4.5","$300,000.00","$130,000.00","$170,000.00"
"Venmo","0.00","21090","4.5","$300,000.00","$130,000.00","$170,000.00"
"MONOPOLY Bingo!","0.00","21025","4.5","$300,000.00","$130,000.00","$170,000.00"
"The Walking Dead: No Man's Land","0.00","21016","4.5","$300,000.00","$130,000.00","$170,000.00"
"BuzzTube - Video Player for YouTube","0.00","21012","4.5","$300,000.00","$130,000.00","$170,000.00"
"Dungeon Boss","0.00","20980","4.5","$300,000.00","$130,000.00","$170,000.00"
"Roll the Ball™ - slide puzzle","0.00","20911","4.5","$300,000.00","$130,000.00","$170,000.00"
"King of Thieves","0.00","20911","4.5","$300,000.00","$130,000.00","$170,000.00"
"MARVEL Future Fight","0.00","20906","4.5","$300,000.00","$130,000.00","$170,000.00"
"Spinny Circle","0.00","20812","4.5","$300,000.00","$130,000.00","$170,000.00"
"VS. Racing 2","0.00","20805","4.5","$300,000.00","$130,000.00","$170,000.00"
"Wishbone - Compare Anything","0.00","20649","4.5","$300,000.00","$130,000.00","$170,000.00"
"happn — Dating app — Find and meet your crush","0.00","20546","4.5","$300,000.00","$130,000.00","$170,000.00"
"Peak - Brain Training","0.00","20322","4.5","$300,000.00","$130,000.00","$170,000.00"
"DraftKings - Daily Fantasy Golf, Baseball, & More","0.00","20251","4.5","$300,000.00","$130,000.00","$170,000.00"
"Dubsmash","0.00","20243","4.5","$300,000.00","$130,000.00","$170,000.00"
"Century City","0.00","20147","4.5","$300,000.00","$130,000.00","$170,000.00"
"Talking Ginger for iPad","0.00","20065","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hot Shot Slots Games – Vegas Casino Slot Machines","0.00","20064","4.5","$300,000.00","$130,000.00","$170,000.00"
"Canvas by Instructure","0.00","19981","4.5","$300,000.00","$130,000.00","$170,000.00"
"Drive Ahead!","0.00","19776","4.5","$300,000.00","$130,000.00","$170,000.00"
"Perfect365 - Custom makeup designs and beauty tips","0.00","19540","4.5","$300,000.00","$130,000.00","$170,000.00"
"Heart of Vegas Slots – Casino Slot Machine Games","0.00","19355","4.5","$300,000.00","$130,000.00","$170,000.00"
"EA SPORTS™ UFC®","0.00","19354","4.5","$300,000.00","$130,000.00","$170,000.00"
"Rodeo Stampede - Sky Zoo Safari","0.00","19199","4.5","$300,000.00","$130,000.00","$170,000.00"
"Bad Piggies HD","0.00","19018","4.5","$300,000.00","$130,000.00","$170,000.00"
"100! Block Puzzle - Color jigsaw 10x10 board game","0.00","18821","4.5","$300,000.00","$130,000.00","$170,000.00"
"ABCmouse.com - Early Learning Academy","0.00","18749","4.5","$300,000.00","$130,000.00","$170,000.00"
"Dawn of Titans","0.00","18735","4.5","$300,000.00","$130,000.00","$170,000.00"
"Talking Tom Gold Run: Fun & Endless Running Game","0.00","18733","4.5","$300,000.00","$130,000.00","$170,000.00"
"The Washington Post Classic","0.00","18572","4.5","$300,000.00","$130,000.00","$170,000.00"
"RetailMeNot Shopping Deals, Coupons, Savings","0.00","18544","4.5","$300,000.00","$130,000.00","$170,000.00"
"Muslim Pro: Ramadan 2017 Prayer Times, Azan, Quran","0.00","18418","4.5","$300,000.00","$130,000.00","$170,000.00"
"Letter Soup - Word Game","0.00","18358","4.5","$300,000.00","$130,000.00","$170,000.00"
"Reckless Getaway","0.99","18259","4.5","$300,000.00","$130,000.00","$170,000.00"
"Animation Throwdown: The Quest for Cards","0.00","18141","4.5","$300,000.00","$130,000.00","$170,000.00"
"Charades!™","0.00","18072","4.5","$300,000.00","$130,000.00","$170,000.00"
"Head Basketball","0.00","18037","4.5","$300,000.00","$130,000.00","$170,000.00"
"Poshmark: Buy & Sell Fashion","0.00","18035","4.5","$300,000.00","$130,000.00","$170,000.00"
"Merged!","0.00","17867","4.5","$300,000.00","$130,000.00","$170,000.00"
"Zombie Castaways","0.00","17865","4.5","$300,000.00","$130,000.00","$170,000.00"
"Quick Reposter - Repost, Regram and Reshare Photos","0.00","17694","4.5","$300,000.00","$130,000.00","$170,000.00"
"New Furniture Mods - Pocket Wiki & Game Tools for Minecraft PC Edition","0.00","17588","4.5","$300,000.00","$130,000.00","$170,000.00"
"Willy Wonka Slots: Vegas Casino Slot Machines","0.00","17436","4.5","$300,000.00","$130,000.00","$170,000.00"
"Beat the Boss 2 (17+)","0.99","17203","4.5","$300,000.00","$130,000.00","$170,000.00"
"Flip Diving","0.00","17012","4.5","$300,000.00","$130,000.00","$170,000.00"
"Bleacher Report: Sports news, scores, & highlights","0.00","16979","4.5","$300,000.00","$130,000.00","$170,000.00"
"Swamp Attack","0.00","16968","4.5","$300,000.00","$130,000.00","$170,000.00"
"Shooty Skies - Endless Arcade Flyer","0.00","16948","4.5","$300,000.00","$130,000.00","$170,000.00"
"Wallpapers for Me - Themes & Background Images","0.00","16925","4.5","$300,000.00","$130,000.00","$170,000.00"
"Warhammer 40,000: Freeblade","0.00","16879","4.5","$300,000.00","$130,000.00","$170,000.00"
"Roku","0.00","16867","4.5","$300,000.00","$130,000.00","$170,000.00"
"The Silent Age","0.00","16852","4.5","$300,000.00","$130,000.00","$170,000.00"
"Merriam-Webster Dictionary","0.00","16849","4.5","$300,000.00","$130,000.00","$170,000.00"
"Zombie Catchers","0.00","16805","4.5","$300,000.00","$130,000.00","$170,000.00"
"Weibo HD","0.00","16772","4.5","$300,000.00","$130,000.00","$170,000.00"
"Camera360 - Selfie Filter Camera, Photo Editor","0.00","16729","4.5","$300,000.00","$130,000.00","$170,000.00"
"Quizlet: Study Flashcards, Languages & Vocabulary","0.00","16683","4.5","$300,000.00","$130,000.00","$170,000.00"
"The Line Zen","0.00","16674","4.5","$300,000.00","$130,000.00","$170,000.00"
"Wedding Dash Deluxe","0.99","16567","4.5","$300,000.00","$130,000.00","$170,000.00"
"MyScript Calculator - Handwriting calculator","0.00","16555","4.5","$300,000.00","$130,000.00","$170,000.00"
"Photomath - Camera Calculator","0.00","16523","4.5","$300,000.00","$130,000.00","$170,000.00"
"DC Legends","0.00","16460","4.5","$300,000.00","$130,000.00","$170,000.00"
"FarmVille: Tropic Escape - Harvest in Paradise","0.00","16457","4.5","$300,000.00","$130,000.00","$170,000.00"
"Plants vs. Zombies™ Heroes","0.00","16305","4.5","$300,000.00","$130,000.00","$170,000.00"
"Farm Heroes Super Saga: Match, Collect and Grow!","0.00","16259","4.5","$300,000.00","$130,000.00","$170,000.00"
"Over— Edit Photos, Add Text & Captions to Pictures","0.00","16221","4.5","$300,000.00","$130,000.00","$170,000.00"
"InstaMag - Free Pic and Photo Collage Maker","0.00","16221","4.5","$300,000.00","$130,000.00","$170,000.00"
"The Walking Dead: Road to Survival - Strategy Game","0.00","16116","4.5","$300,000.00","$130,000.00","$170,000.00"
"5miles: Buy and Sell Used Stuff Locally","0.00","16105","4.5","$300,000.00","$130,000.00","$170,000.00"
"Tap Tap Fish - Abyssrium","0.00","15876","4.5","$300,000.00","$130,000.00","$170,000.00"
"ColorArt: Coloring Book For Adults","0.00","15797","4.5","$300,000.00","$130,000.00","$170,000.00"
"Photo Transfer App - Easy backup of photos+videos","0.00","15654","4.5","$300,000.00","$130,000.00","$170,000.00"
"Forge of Empires","0.00","15617","4.5","$300,000.00","$130,000.00","$170,000.00"
"Sephora Makeup & Beauty App – Insider Tips & Style","0.00","15593","4.5","$300,000.00","$130,000.00","$170,000.00"
"Ninja Kid Run VR: Runner & Racing Games For Free","0.00","15399","4.5","$300,000.00","$130,000.00","$170,000.00"
"Cupcake Mania™","0.00","15336","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hovercraft: Takedown - Custom Combat Cars","0.00","15290","4.5","$300,000.00","$130,000.00","$170,000.00"
"Repost for Instagram","0.00","15185","4.5","$300,000.00","$130,000.00","$170,000.00"
"Prisma: Photo Editor, Art Filters Pic Effects","0.00","15060","4.5","$300,000.00","$130,000.00","$170,000.00"
"Spinrilla - Mixtapes For Free","0.00","15053","4.5","$300,000.00","$130,000.00","$170,000.00"
"Flappy Golf","0.00","14995","4.5","$300,000.00","$130,000.00","$170,000.00"
"Calculator HD Free","0.00","14986","4.5","$300,000.00","$130,000.00","$170,000.00"
"Filterra – Photo Editor, Effects for Pictures","0.00","14744","4.5","$300,000.00","$130,000.00","$170,000.00"
"Live.me – Live Video Chat & Make Friends Nearby","0.00","14724","4.5","$300,000.00","$130,000.00","$170,000.00"
"Arrow","0.00","14673","4.5","$300,000.00","$130,000.00","$170,000.00"
"Zombie Highway 2","0.00","14593","4.5","$300,000.00","$130,000.00","$170,000.00"
"Traffic Rider","0.00","14592","4.5","$300,000.00","$130,000.00","$170,000.00"
"Fruit Nibblers","0.00","14505","4.5","$300,000.00","$130,000.00","$170,000.00"
"Six!","0.00","14505","4.5","$300,000.00","$130,000.00","$170,000.00"
"Age of Zombies™","0.99","14493","4.5","$300,000.00","$130,000.00","$170,000.00"
"Backbreaker 2: Vengeance","0.99","14491","4.5","$300,000.00","$130,000.00","$170,000.00"
"Nextdoor","0.00","14402","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hatchi - A retro virtual pet","0.99","14381","4.5","$300,000.00","$130,000.00","$170,000.00"
"Tank Hero","0.99","14361","4.5","$300,000.00","$130,000.00","$170,000.00"
"YouCam Makeup: Magic Makeup Selfie Cam","0.00","14188","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hovercraft - Build Fly Retry","0.00","14123","4.5","$300,000.00","$130,000.00","$170,000.00"
"Top Eleven 2017 - Be a Soccer Manager","0.00","14104","4.5","$300,000.00","$130,000.00","$170,000.00"
"Afterlight","0.99","14057","4.5","$300,000.00","$130,000.00","$170,000.00"
"Followers Analytics for Instagram - InstaReport","0.00","13914","4.5","$300,000.00","$130,000.00","$170,000.00"
"Snakeio","0.00","13870","4.5","$300,000.00","$130,000.00","$170,000.00"
"WWE SuperCard","0.00","13842","4.5","$300,000.00","$130,000.00","$170,000.00"
"94%","0.00","13805","4.5","$300,000.00","$130,000.00","$170,000.00"
"Transformers: Earth Wars","0.00","13664","4.5","$300,000.00","$130,000.00","$170,000.00"
"Slots - Huuuge Casino: Slot Machines","0.00","13637","4.5","$300,000.00","$130,000.00","$170,000.00"
"edjing Mix:DJ turntable to remix and scratch music","0.00","13580","4.5","$300,000.00","$130,000.00","$170,000.00"
"Star Chart","0.00","13482","4.5","$300,000.00","$130,000.00","$170,000.00"
"Free Music - MP3 Streamer & Playlist Manager Pro","0.00","13443","4.5","$300,000.00","$130,000.00","$170,000.00"
"Clue Period Tracker: Period & Ovulation Tracker","0.00","13436","4.5","$300,000.00","$130,000.00","$170,000.00"
"my KONAMI Slots - Vegas Casino Slot Machine Games","0.00","13345","4.5","$300,000.00","$130,000.00","$170,000.00"
"KleptoCats","0.00","13300","4.5","$300,000.00","$130,000.00","$170,000.00"
"Regal Cinemas","0.00","13257","4.5","$300,000.00","$130,000.00","$170,000.00"
"Churchill Solitaire - World War Card Game","0.00","13241","4.5","$300,000.00","$130,000.00","$170,000.00"
"Phoenix HD","0.00","13106","4.5","$300,000.00","$130,000.00","$170,000.00"
"Block Сity Wars: game and skin export to minecraft","0.00","13097","4.5","$300,000.00","$130,000.00","$170,000.00"
"Cartoon Wars 2: Heroes","0.99","13049","4.5","$300,000.00","$130,000.00","$170,000.00"
"Free Piano app by Yokee","0.00","13016","4.5","$300,000.00","$130,000.00","$170,000.00"
"MSQRD — Live Filters & Face Swap for Video Selfies","0.00","12982","4.5","$300,000.00","$130,000.00","$170,000.00"
"MMX Racing","0.00","12854","4.5","$300,000.00","$130,000.00","$170,000.00"
"Catapult King","0.99","12799","4.5","$300,000.00","$130,000.00","$170,000.00"
"Ever - Capture Your Memories","0.00","12755","4.5","$300,000.00","$130,000.00","$170,000.00"
"SHEIN Shopping - Women's Clothing & Fashion","0.00","12663","4.5","$300,000.00","$130,000.00","$170,000.00"
"Layout from Instagram","0.00","12616","4.5","$300,000.00","$130,000.00","$170,000.00"
"Steppy Pants","0.00","12506","4.5","$300,000.00","$130,000.00","$170,000.00"
"CVS","0.00","12402","4.5","$300,000.00","$130,000.00","$170,000.00"
"Football Clicker","0.00","12326","4.5","$300,000.00","$130,000.00","$170,000.00"
"SNKRS","0.00","12298","4.5","$300,000.00","$130,000.00","$170,000.00"
"Rick and Morty: Pocket Mortys","0.00","12124","4.5","$300,000.00","$130,000.00","$170,000.00"
"CLUE Bingo","0.00","12123","4.5","$300,000.00","$130,000.00","$170,000.00"
"Night Sky","0.00","12122","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hop","0.00","12079","4.5","$300,000.00","$130,000.00","$170,000.00"
"Speak & Translate － Voice and Text Translator","0.00","12062","4.5","$300,000.00","$130,000.00","$170,000.00"
"Extreme Fishing 2 Free","0.00","12002","4.5","$300,000.00","$130,000.00","$170,000.00"
"Face Swap App- Funny Face Changer Photo Effects","0.00","11977","4.5","$300,000.00","$130,000.00","$170,000.00"
"FollowMeter for Instagram - Followers Tracking","0.00","11976","4.5","$300,000.00","$130,000.00","$170,000.00"
"Moments - private albums with friends and family","0.00","11955","4.5","$300,000.00","$130,000.00","$170,000.00"
"Haunted Halloween Escape","0.00","11945","4.5","$300,000.00","$130,000.00","$170,000.00"
"Pakka Pets Village - Build a Cute Virtual Pet Town","0.00","11933","4.5","$300,000.00","$130,000.00","$170,000.00"
"Wheel of Fortune: Game Show Word Puzzles","0.00","11876","4.5","$300,000.00","$130,000.00","$170,000.00"
"Fooducate - Lose Weight, Eat Healthy,Get Motivated","0.00","11875","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hair Color Changer - Styles Salon & Recolor Booth","0.00","11828","4.5","$300,000.00","$130,000.00","$170,000.00"
"Skyline Skaters","0.00","11785","4.5","$300,000.00","$130,000.00","$170,000.00"
"Tap Tap Dash","0.00","11748","4.5","$300,000.00","$130,000.00","$170,000.00"
"Scanner App - PDF Document Scan","0.00","11696","4.5","$300,000.00","$130,000.00","$170,000.00"
"Backflip Madness","0.99","11687","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mobile Legends: Bang bang","0.00","11602","4.5","$300,000.00","$130,000.00","$170,000.00"
"Tayasui Sketches","0.00","11505","4.5","$300,000.00","$130,000.00","$170,000.00"
"Lep's World 3","0.00","11341","4.5","$300,000.00","$130,000.00","$170,000.00"
"Flick Kick Football Legends","0.00","11250","4.5","$300,000.00","$130,000.00","$170,000.00"
"MMX Hill Dash — Off-Road Racing","0.00","11123","4.5","$300,000.00","$130,000.00","$170,000.00"
"Snapimals: Discover & Snap Amazing & Cute Animals!","0.00","11060","4.5","$300,000.00","$130,000.00","$170,000.00"
"Tap Tycoon - Country vs Country","0.00","11034","4.5","$300,000.00","$130,000.00","$170,000.00"
"Retrica - Selfie Camera with Filter, Sticker & GIF","0.00","11021","4.5","$300,000.00","$130,000.00","$170,000.00"
"Fish Out Of Water!","0.99","11000","4.5","$300,000.00","$130,000.00","$170,000.00"
"Sunken Secrets","0.00","10849","4.5","$300,000.00","$130,000.00","$170,000.00"
"Email - Fast & Secure mail for Gmail iCloud Yahoo","0.00","10778","4.5","$300,000.00","$130,000.00","$170,000.00"
"Teenage Mutant Ninja Turtles: Legends","0.00","10771","4.5","$300,000.00","$130,000.00","$170,000.00"
"Pudding Monsters","0.99","10703","4.5","$300,000.00","$130,000.00","$170,000.00"
"Rival Fire","0.00","10701","4.5","$300,000.00","$130,000.00","$170,000.00"
"Dots & Co: A New Puzzle Adventure","0.00","10693","4.5","$300,000.00","$130,000.00","$170,000.00"
"VivaVideo - Best Video Editor & Photo Movie Maker","0.00","10618","4.5","$300,000.00","$130,000.00","$170,000.00"
"Cover Orange 2: Journey","0.99","10604","4.5","$300,000.00","$130,000.00","$170,000.00"
"RPG AVABEL ONLINE","0.00","10514","4.5","$300,000.00","$130,000.00","$170,000.00"
"Clear Vision 2","0.99","10477","4.5","$300,000.00","$130,000.00","$170,000.00"
"Runtastic Running, Jogging and Walking Tracker","0.00","10298","4.5","$300,000.00","$130,000.00","$170,000.00"
"Cat Kitty Kitten Coloring Pages - Free Girl Games","0.00","10278","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mahjong Classic Board Game","0.00","10275","4.5","$300,000.00","$130,000.00","$170,000.00"
"Lords Mobile","0.00","10263","4.5","$300,000.00","$130,000.00","$170,000.00"
"Weed Firm: RePlanted","0.00","10122","4.5","$300,000.00","$130,000.00","$170,000.00"
"Fresh Tracks Snowboarding","0.00","10107","4.5","$300,000.00","$130,000.00","$170,000.00"
"Certified Mixtapes - Hip Hop Albums & Mixtapes","0.00","9975","4.5","$300,000.00","$130,000.00","$170,000.00"
"Flick Golf!","0.99","9948","4.5","$300,000.00","$130,000.00","$170,000.00"
"365Scores","0.00","9879","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mr. Crab","0.00","9875","4.5","$300,000.00","$130,000.00","$170,000.00"
"HP All-in-One Printer Remote","0.00","9819","4.5","$300,000.00","$130,000.00","$170,000.00"
"Red Ball 4","0.99","9818","4.5","$300,000.00","$130,000.00","$170,000.00"
"Remind: Fast, Efficient School Messaging","0.00","9796","4.5","$300,000.00","$130,000.00","$170,000.00"
"Genies & Gems","0.00","9768","4.5","$300,000.00","$130,000.00","$170,000.00"
"Dude Perfect","0.99","9763","4.5","$300,000.00","$130,000.00","$170,000.00"
"Parking Mania","0.99","9657","4.5","$300,000.00","$130,000.00","$170,000.00"
"TurboTax Tax Return App - File 2016 income taxes","0.00","9635","4.5","$300,000.00","$130,000.00","$170,000.00"
"Heads Up!","0.99","9567","4.5","$300,000.00","$130,000.00","$170,000.00"
"SongPop 2 - Guess The Song","0.00","9517","4.5","$300,000.00","$130,000.00","$170,000.00"
"Snail Bob","0.99","9453","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mini Golf Stars! Retro Golf Game","0.00","9411","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mad Skills Motocross","0.99","9341","4.5","$300,000.00","$130,000.00","$170,000.00"
"Afterpulse","0.00","9321","4.5","$300,000.00","$130,000.00","$170,000.00"
"Muffin Knight","0.99","9302","4.5","$300,000.00","$130,000.00","$170,000.00"
"Bullet Force","0.00","9289","4.5","$300,000.00","$130,000.00","$170,000.00"
"Batman: Arkham Underworld","0.00","9287","4.5","$300,000.00","$130,000.00","$170,000.00"
"Discord - Chat for Gamers","0.00","9152","4.5","$300,000.00","$130,000.00","$170,000.00"
"Tap Titans 2","0.00","9122","4.5","$300,000.00","$130,000.00","$170,000.00"
"Canva - Graphic Design & Photo Editing","0.00","9114","4.5","$300,000.00","$130,000.00","$170,000.00"
"Photo Editor-","0.00","9095","4.5","$300,000.00","$130,000.00","$170,000.00"
"Snake Slither Run - Hungry Worm Eat Color Dot","0.00","9034","4.5","$300,000.00","$130,000.00","$170,000.00"
"Jet: Online Shopping Deals & Bulk Wholesale Prices","0.00","9006","4.5","$300,000.00","$130,000.00","$170,000.00"
"Ringtone Designer Pro - Create Unlimited Ringtones, Text Tones, Email Alerts, and More!","0.99","8946","4.5","$300,000.00","$130,000.00","$170,000.00"
"Dear Diary - Interactive Story","0.00","8922","4.5","$300,000.00","$130,000.00","$170,000.00"
"Archery King","0.00","8905","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mimitos Virtual cat with minigames","0.00","8899","4.5","$300,000.00","$130,000.00","$170,000.00"
"Smashy City","0.00","8742","4.5","$300,000.00","$130,000.00","$170,000.00"
"SayHi Translate","0.00","8623","4.5","$300,000.00","$130,000.00","$170,000.00"
"Sniper Fury: Fun Mobile Shooter Game","0.00","8596","4.5","$300,000.00","$130,000.00","$170,000.00"
"Fit The Fat 2","0.00","8557","4.5","$300,000.00","$130,000.00","$170,000.00"
"You Doodle - draw on photos & pictures, add text","0.00","8520","4.5","$300,000.00","$130,000.00","$170,000.00"
"Stop - Fun Categories Word Game","0.00","8516","4.5","$300,000.00","$130,000.00","$170,000.00"
"PIP Camera-Selfie Cam&Pic Collage&Photo Editor","0.00","8454","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hitman Sniper","0.99","8452","4.5","$300,000.00","$130,000.00","$170,000.00"
"My Emma :)","0.00","8412","4.5","$300,000.00","$130,000.00","$170,000.00"
"Lep's World 2 Plus - super best platformer games","0.99","8404","4.5","$300,000.00","$130,000.00","$170,000.00"
"Spin It Rich! Casino Slots: Free Slot Machines","0.00","8402","4.5","$300,000.00","$130,000.00","$170,000.00"
"Futurama: Game of Drones","0.00","8394","4.5","$300,000.00","$130,000.00","$170,000.00"
"One More Line","0.00","8392","4.5","$300,000.00","$130,000.00","$170,000.00"
"Talking Ginger 2","0.00","8311","4.5","$300,000.00","$130,000.00","$170,000.00"
"Diggy's Adventure","0.00","8271","4.5","$300,000.00","$130,000.00","$170,000.00"
"Pet Buddies HD","0.00","8227","4.5","$300,000.00","$130,000.00","$170,000.00"
"Black Friday 2017 Ads App - BlackFriday.fm","0.00","8221","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mekorama","0.00","8157","4.5","$300,000.00","$130,000.00","$170,000.00"
"Tomb of the Mask","0.00","8054","4.5","$300,000.00","$130,000.00","$170,000.00"
"Kids Doodle - Movie Kids Color & Draw","0.00","8025","4.5","$300,000.00","$130,000.00","$170,000.00"
"FanDuel - Daily Fantasy Baseball, Golf & Sports","0.00","8014","4.5","$300,000.00","$130,000.00","$170,000.00"
"Swing","0.00","8013","4.5","$300,000.00","$130,000.00","$170,000.00"
"Vikings: War of Clans","0.00","7969","4.5","$300,000.00","$130,000.00","$170,000.00"
"Fantasy Forest Story: Land Before Dragons","0.00","7935","4.5","$300,000.00","$130,000.00","$170,000.00"
"Sideline - 2nd Phone Number","0.00","7907","4.5","$300,000.00","$130,000.00","$170,000.00"
"Run!!!","0.00","7891","4.5","$300,000.00","$130,000.00","$170,000.00"
"Soccer Star 2016 World Legend","0.00","7765","4.5","$300,000.00","$130,000.00","$170,000.00"
"Record by Under Armour, connects with UA HealthBox","0.00","7754","4.5","$300,000.00","$130,000.00","$170,000.00"
"Steve - The Jumping Dinosaur Widget Arcade Game","0.00","7751","4.5","$300,000.00","$130,000.00","$170,000.00"
"My Singing Monsters: Dawn of Fire","0.00","7749","4.5","$300,000.00","$130,000.00","$170,000.00"
"Coloring Book for Me - Coloring pages for adults","0.00","7692","4.5","$300,000.00","$130,000.00","$170,000.00"
"DragonSoul RPG","0.00","7681","4.5","$300,000.00","$130,000.00","$170,000.00"
"POP! Slots – Las Vegas Casino Slot Machine Games","0.00","7518","4.5","$300,000.00","$130,000.00","$170,000.00"
"Crafty Candy - Match 3 Puzzle Game","0.00","7511","4.5","$300,000.00","$130,000.00","$170,000.00"
"Fitstar Personal Trainer","0.00","7496","4.5","$300,000.00","$130,000.00","$170,000.00"
"Clicker Heroes","0.00","7495","4.5","$300,000.00","$130,000.00","$170,000.00"
"Sky Force Reloaded","0.00","7429","4.5","$300,000.00","$130,000.00","$170,000.00"
"Monogram - Wallpaper & Backgrounds Maker HD DIY with Glitter Themes","0.00","7427","4.5","$300,000.00","$130,000.00","$170,000.00"
"RoverCraft Space Racing","0.00","7375","4.5","$300,000.00","$130,000.00","$170,000.00"
"BBTAN by 111%","0.00","7367","4.5","$300,000.00","$130,000.00","$170,000.00"
"Free QR Code Reader & Barcode Scanner for iPhone","0.00","7343","4.5","$300,000.00","$130,000.00","$170,000.00"
"Emoji - inTextMoji Pro ;)","0.99","7204","4.5","$300,000.00","$130,000.00","$170,000.00"
"Smash Monsters - City Rampage","0.00","7084","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hungry Babies Mania","0.00","7075","4.5","$300,000.00","$130,000.00","$170,000.00"
"Olympus Rising","0.00","7072","4.5","$300,000.00","$130,000.00","$170,000.00"
"StickyBalls Deluxe - Addicting Fall Down Game","0.00","7002","4.5","$300,000.00","$130,000.00","$170,000.00"
"Earn to Die","0.99","6977","4.5","$300,000.00","$130,000.00","$170,000.00"
"Solitaire Deluxe® Social - Classic, Spider, more","0.00","6970","4.5","$300,000.00","$130,000.00","$170,000.00"
"The Impossible Letter Game","0.00","6956","4.5","$300,000.00","$130,000.00","$170,000.00"
"Hopper - Predict, Watch & Book Flights","0.00","6944","4.5","$300,000.00","$130,000.00","$170,000.00"
"Christmas Dentist Doctor Kid Games (Girls & Boys)","0.00","6917","4.5","$300,000.00","$130,000.00","$170,000.00"
"Best Fiends Forever","0.00","6872","4.5","$300,000.00","$130,000.00","$170,000.00"
"No Brakes","0.00","6865","4.5","$300,000.00","$130,000.00","$170,000.00"
"Nonstop Knight","0.00","6841","4.5","$300,000.00","$130,000.00","$170,000.00"
"Fist of Fury","0.00","6813","4.5","$300,000.00","$130,000.00","$170,000.00"
"Seven - 7 Minute Workout Training Challenge","0.00","6808","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mystic Messenger","0.00","6754","4.5","$300,000.00","$130,000.00","$170,000.00"
"Baby Story - Pregnancy Pics Baby Milestones Photo","0.00","6700","4.5","$300,000.00","$130,000.00","$170,000.00"
"Tinker Island: Survival Adventure","0.00","6686","4.5","$300,000.00","$130,000.00","$170,000.00"
"Prodigy Math Game","0.00","6683","4.5","$300,000.00","$130,000.00","$170,000.00"
"Flipp - Weekly Ads, Shopping List, and Coupons","0.00","6677","4.5","$300,000.00","$130,000.00","$170,000.00"
"Epic! - Unlimited Books for Kids","0.00","6676","4.5","$300,000.00","$130,000.00","$170,000.00"
"Touchdown Hero","0.00","6570","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mahjong Treasure Quest","0.00","6557","4.5","$300,000.00","$130,000.00","$170,000.00"
"Suicide Squad: Special Ops","0.00","6551","4.5","$300,000.00","$130,000.00","$170,000.00"
"Zen Pinball","0.00","6534","4.5","$300,000.00","$130,000.00","$170,000.00"
"Bud Farm: Grass Roots","0.00","6523","4.5","$300,000.00","$130,000.00","$170,000.00"
"Verizon Cloud","0.00","6482","4.5","$300,000.00","$130,000.00","$170,000.00"
"Would You Rather?","0.00","6479","4.5","$300,000.00","$130,000.00","$170,000.00"
"Pineapple Pen","0.00","6430","4.5","$300,000.00","$130,000.00","$170,000.00"
"NARUTO SHIPPUDEN: Ultimate Ninja Blazing","0.00","6426","4.5","$300,000.00","$130,000.00","$170,000.00"
"RUNNING for weight loss: workout & meal plans","0.00","6407","4.5","$300,000.00","$130,000.00","$170,000.00"
"DragonVale World","0.00","6379","4.5","$300,000.00","$130,000.00","$170,000.00"
"PicFrame","0.99","6374","4.5","$300,000.00","$130,000.00","$170,000.00"
"Endless Sky","0.00","6313","4.5","$300,000.00","$130,000.00","$170,000.00"
"Taps to Riches","0.00","6286","4.5","$300,000.00","$130,000.00","$170,000.00"
"Real Boxing 2 ROCKY","0.00","6263","4.5","$300,000.00","$130,000.00","$170,000.00"
"Cheats For Pokemon Go - Gameplay, PokeCoins Guide, Catch Videos","0.00","6205","4.5","$300,000.00","$130,000.00","$170,000.00"
"Mars: Mars","0.00","6116","4.5","$300,000.00","$130,000.00","$170,000.00"
"SeatGeek – Tickets to Sports, Concerts & Broadway","0.00","6088","4.5","$300,000.00","$130,000.00","$170,000.00"
"QuakeFeed Earthquake Map, Alerts, and News","0.00","6081","4.5","$300,000.00","$130,000.00","$170,000.00"
"Dragon Land","0.00","6079","4.5","$300,000.00","$130,000.00","$170,000.00"
"Battle Camp HD - Collect & Evolve Your Monsters","0.00","6055","4.5","$300,000.00","$130,000.00","$170,000.00"
"Thumb Drift - Furious One Touch Car Racing","0.00","6051","4.5","$300,000.00","$130,000.00","$170,000.00"
"Free VPN HexaTech - Unlimited VPN Proxy for iPhone","0.00","5934","4.5","$300,000.00","$130,000.00","$170,000.00"
"Ball King","0.00","5834","4.5","$300,000.00","$130,000.00","$170,000.00"
