"name","price","review_count","rating","est_income","est_total_cost","expected_profit"
"Tank.IO War - Free Tank games of snake","0.00","9259","5.0","$330,000.00","$142,000.00","$188,000.00"
"Dragon Island Blue","0.99","9119","5.0","$330,000.00","$142,000.00","$188,000.00"
"Cut the Rope: Time Travel","0.99","9003","5.0","$330,000.00","$142,000.00","$188,000.00"
"Despicable Bear - Top Beat Action Game","0.00","8872","5.0","$330,000.00","$142,000.00","$188,000.00"
"8fit - Workouts, meal plans and personal trainer","0.00","8730","5.0","$330,000.00","$142,000.00","$188,000.00"
"Romwe shopping- Fashion Clothing for women","0.00","8558","5.0","$330,000.00","$142,000.00","$188,000.00"
"The Guardian","0.00","8176","5.0","$330,000.00","$142,000.00","$188,000.00"
"Dreamdays: Count Down to the Days that Matter","0.99","7863","5.0","$330,000.00","$142,000.00","$188,000.00"
"Burrito Bison: Launcha Libre","0.00","7740","5.0","$330,000.00","$142,000.00","$188,000.00"
"Dan The Man (Retro Action Platformer)","0.00","7527","5.0","$330,000.00","$142,000.00","$188,000.00"
"BeautyPlus - Selfie Camera for a Beautiful Image","0.00","7503","5.0","$330,000.00","$142,000.00","$188,000.00"
"Super Cat Tales","0.00","7423","5.0","$330,000.00","$142,000.00","$188,000.00"
"Slots: DoubleUp Free Slot Games - Slot Machines","0.00","7177","5.0","$330,000.00","$142,000.00","$188,000.00"
"Pixel Color Ball Fell From The Sky","0.00","6493","5.0","$330,000.00","$142,000.00","$188,000.00"
"Meitu","0.00","6478","5.0","$330,000.00","$142,000.00","$188,000.00"
"Good Knight Story","0.00","6282","5.0","$330,000.00","$142,000.00","$188,000.00"
"ChineseSkill -Learn Mandarin Chinese Language Free","0.00","6077","5.0","$330,000.00","$142,000.00","$188,000.00"
"Fish Mania™","0.00","6038","5.0","$330,000.00","$142,000.00","$188,000.00"
"Nike+","0.00","5464","5.0","$330,000.00","$142,000.00","$188,000.00"
